Yorumlar,Duygu
"Tek bir şeyi merak ediyorum belediye bütçesinden aldığını nereden çıkardınız, nasıl anladınız? Ayakkabı aldığı mağazaya gidip bunları belediye bütçesinden mi alıyorum dedi?",2
Chp zihniyeti,2
Küfür eden arkadaşlar sizce tek bu adam mı sizin verginiz mi boşa harcadı ne insanlar neerelere sizin verginizi harcadı kimse ağzını açmıyor birisi ayakabi hediye edince coşuyorsunuz .ayakabi hediye edene değil pudra şekerine korumalara saraya  rüşvetlere vb şeylere harcayanlarada keşke sesiniz çıksa kimine çıkıyor kimine çıkmıyor halk konuşamıyor rahatça bu kimin suçu. ? ? ?,2
Ayakkabı kutularinda tepeleme Euro-dolar olsaydı şeref madalyası alabilirdi halktan ama ayakkabı olduğu için millet görevden alınmasını istiyor pudhdhhdjdsjdjr çok komiksiniz çok komik,2
puuu size,1
"Yanlış! Şimdi bak bizim taraf yapıyorsa da YAPTIRMAMAK VE BUNUN YANLIŞ OLDUĞUNU SÖYLEMEK GEREKİR  yapmayacaksın belediye başkanım, bunlar bu kaşar çirkefken bunları yapmayacaksın!",1
Bunlara bir şey olmuyor ama ,2
@bskalikilic o kadar yoksul insan var bizim paramızı onlara yedirin size değil,2
Al birisini vur ötekine  yönetimin değişmesi bir şey değiştirmez biz halkın insanların düşüncesi değişmesi lazim,1
"artık değen taş da siz oldunuz, taşı oraya koyan da... siz de ortak oldunuz bu ülkenin kötü haline. yazık",1
@bskalikilic o kadar yoksul insan var bizim paramızı onlara yedirin size değil,1
Klasik chp kafası,2
Çıldırmamak elde değil...,1
"Bunlar bide saçma sapan yerlere harcıyor , az örnek alsalar ya diğerlerinden ",2
"Devlet hazinezi tam takır kuru bakır 128 ...nice milyar dolarlar gitti, admin bu neyin kafası gerçekçi konuşun ve sağlam bilgiler paylaşın Belediyenin bütçesinde aldığını ispat edecek somut delilin varmı ...yüzbinlerce kişi malum yerden işe güce gitmeden maaaş alıyor..Allah ,ne kadar gerçekte hak hukuk yiyen var ise helak etsin inşallah 🤲 amin",1
Kimin parasıyla kime hediye aliyorsunuz bu kadarıda olmaz,1
Haram Zadeler,1
Çalışmıyo ama çalıyo,2
Yeyin bakalım yeyin çok ihtiyacı var milletvekillerinin yazıklar olsun....,1
Aferin sana. Milletin ağzına laf vermeyi iyi biliyorsunuz. @kilicdaroglu gelmişsin 70 küsür yaşına düşmüşsün bir koltuk sevdasına bi durda Parti'nin içindeki bunlara bi sahip çık,3
belediye bütçesinden alındığını gösteren bir delil varmı(bu şuan bir iftira sayılır),1
bu kılıçlar sıkıntılı valla,1
İyiki varsın cehennem,3
Hakkım haram zıkkım zehir olsun. Askerlik bitmesine rağmen 4 aydır istikhak spor ayakkabı giyiyorum. En büyük dileğim başınıza çok ağır ve kötü şeyler gelmesidir.,1
Sayıştay göreve @t.c_sayistay,1
Birde bunu övünerek dile getiriyor yani çokmu ihtiyaç varmış sadakamiz olsun .. Heee ayrıca Reis bunu dikkate alır ,3
allah belanizi versin milletin hakkini kim haksiz yere yiyosa hakkim haram olsun,1
Cebinden vereceksin madem boyle bi hediye alicaksin yalaka seni,1
Ayagina bir ayakkabi alamayan cocuklar var  bokunda bogulun  geberirsin  umarim brlediye baskani,1
Gerçekten chp ve apknın farklı olduğunu düşünecek kadar zavallı birisi var mı ? Bunların ikisi de aynı. Hiçbiri hak hukuk adalet eşitlik aramıyor sadece kendileri yiyemiyorlar tek dertleri o.,1
ahmet baykanı secseydik ?,2
Ben etmiyorum hakkımı helal,1
İhbar mi etsem,2
200 k nın üzerinde yağlama,1
ulkede liyakat yok her biri ayni amg,1
Dayanamıyorum ekranı ısıracamm ,1
Aldiklari maaslar zehir zikkim olsun,1
"Maltepeli vatandaş  sen durma  emlak ,çöp ,katı  atık ,atık  su ,vs  vs  sürekli  vergilerini  ver .verki aylık 40 binliracik  maaşla  çalışan yoksulluk  içinde hayatını  zor idame  ettiren chp  millet vekillerine  ayakkabı  don  kilot  alınacak. Asgari ücretliler  utanmıyorsunuz  5500 lira maaşı tek başınıza  yemeğe  burda has yiyiciler  var sökülün  paraları",1
Güzel indirim vardı ,3
Bu ne aymazlık yaaaaa...benim paramla elaleme ayakkabı alamazsın kardeşiiiimmmm,1
Maltepe belediyesi yolsuzluk belediyesi,1
Kim ki o milletin  parasıyla hediye alıyor!??Millet hibe etsin  paraları diye öi seçti @maltepebeltr,1
chp  Allah  muhafaza iktidar olsa o belediye  millet vekillerine yılbaşı hediyesi diye  pırlanta gönderir halka ise babayı verir  gerçi bunun gercekleşmesini isteyen çok insan var  ne yazık ki,1
OGHHHHHGGGHHHHHH,3
İyi yapmışsın helal olsun,3
Maltepe sokak ve caddelere bakarsanız olayı daha iyi anlarsınız.,2
Toblerone vakası part 2 olur mu sanmam,1
Bu sayfaya çok fazla itibar etmeyin,1
Hızlı bir ihrac kararı bekliyoruz,2
Maltepeli degilim kartepeliyimdir komşu ,1
"Hemen kovuyorsunuz bu ş… yoksa söylediğiniz sözler dürüst değildir.. bu memleketin en büyük derdi hırsızlık, rüşvet, halkın malını kendi malı gibi zannedenlerden çekti zaten.. bu adam bu partiyle bir dakika anılamaz.. suratına tükürdüğüm herifi @chp",1
nasıl vicdanınız rahat ediyor çok merak ediyorum ya. Hangi parti olursa olsun hakkım helal etmiyorum.,1
Hiç yakışmadı chp gereken cezayı verir umarım yoksa çok kötü çizik yer,1
hediye ediceksen kendi cebinden ver milletin parasını niye kullanıyon ,1
"Bu milletin parasıyla utanmıyorlar dimi, kıyıda köşede çocuğuna ayakkabı alamayan geceler nefesiyle ısınan çocuğunun beslenmesine ne koyucam diye uykusu kaçan anneler var! Zehir zıkkım olsun, giyenlerede giydirenlerede!",1
İşte böylelerini temizlemek için imamoğlu,1
Halkın vergilerini yiyin aferin size...,3
hepiniz aynı yolun yolcususunuz ,3
KK nin kaybettigi mahkemelerin finansörü maltepe belediyesi buyuzden  maltepe belediye baskani aday sureklii Ali kiliç.,2
Ayağınıza taş değsin insallah,1
Bu daha başlangıç…,2
"Keşke bu soğuk kış günlerinde, ihtiyacı olan çoluk çocuğa dağıtsaymış, milletvekilleri zaten fahiş maaş almıyor mu ",1
Birileri gizli yapar birileri alenen yapar. halk için çalışın halk adil olun artık azıcık o bu şu parti fark etmez halkı anlayın artık,1
Ak parti Maltepe meclis üyeleri neden sessiz sucduyurusunda bulunamazlar mi bu parayı amacı dışında kullanması suç degilmi,1
"Halk iktidarı? Sesli güldüm. Rahmetli Kemal Sunal, yüz numaralı adam filminde diyorduya; ""kim sizdenim derse, en büyük kazığı o atıyor "".",2
Baya saçma iş olmuş.,1
İş güvenliği ayakkabıları ,2
Gariban babası Ali kılıç,3
Milletin parasıyla hava yapıyor,1
Yürüyeceğiniz ayakkabıyı da mı biz düşünelim beylerrr zaten hiçbiriniz bir işe yaramıyor. Tüm siyasetçilere hakkımı helal etmiyorum,1
"Acaba bizde de bi ""tobleron"" davası açılır mı??????  Yoksa görmezden mi gelinir ki?",1
Ayıp bee ayıp yazıklar olsun size iyi çalıp çırpıyorsunuz @bskalikilic,1
Aynı tas aynı hamam,2
Doğruysa çok ayıp etmiş artık gündem olur başkalarının yaptığı duyulmaz ama siz asla yapmamalıydınız,1
Helaall etmiyorum,1
Zehir zikkim olsun,1
Bence çok mantıklı bir hareket helal olsun. O 135 milletvekili yırtık ayakkabılarla meclise gidiyordu ve utanıyorlardı diğer milletvekili arkadaşlarından. Helal olsun...!!!,1
Önce bozuk yollarını yaptırsın maltepe belediye başkanı tarlada mi gidiyoruz bagdat caddesinde mi belli değil,1
Halkın parasıyla hizmet yapman gerekirken bu yalakalık nedir? Eğer sen böyle yaparsan iktidar sahibi neler neler yapar. Yazık.,1
Hakkım hiç bir siyasetçi'ye helal değil.,1
Ulan intiyacım var bir tane alamıyorum,1
@jandarma yakala,1
@tcicisleri @suleyman_soylu hani la kayyum,2
@emniyetgm derhal kayyum,2
Vekillere sormuş mu peki böyle bi yaranma çabasına girerken ,2
Aga iyi güzel de görsellerde belediye bütçesinden alındığına dair bir şey yok ki,1
afiyet olsun,3
Ayıp ayıp bizim paramızla hediye,1
Bu adam hep haklı. En iyi gazeteci. Bunun teke tek programı da bence Türkiye'nin en yararlı programı,1
Kafam karıstı benim galiba babacana oy vericem,2
İmamoğlu reisliği devr alıyor seve isteye veriyor sanki iki lazın oyunu bu,3
İtiraf ediyorum benim babam değiştirdi davanın hakimini,2
Saraçhane de Ekrem ve Meral kemal Kılıçdaroğlu na Darbe yapmistir,1
Mansur Yavaş hayalleri yalan oldu bizim,1
Sen git öcalanla röportaj falan yap seni aklını kiraya verenler dışında kimse iplemiyo!!!,1
"Erdoğan hata yapmadı, Erdoğan'ı yönetenler planlarını devam ettirdi.",2
"Evet, twitterde ihaleyi fetö ve muhalefete yıkmaya çalışıyorlar.",2
Kendiniz çalıyorsunuz kendiniz oynuyorsunuz vur patlasın çal oynasın  Suçlu arıyor suçlu kim Meral Akşener bir Mansuru seviyor bir İmamoğlunu seviyor Kılıçdaroğlu'nu nasıl darbe yaptılar Davanın sonucu nasıl sevindiler İmamoğlu ve Meral Akşener ,2
Siz gerçekten bunu akpartinin yaptığını mı düşünüyorsunuz? Ekrem İmamoğlu R.T.E gibi zamanında böyle ünlenmesini örnek alıp kemal kılıçtaroğlunu aday göstermemek. Kemalin yurtdışana göndermelerinin sebebi ney sizce… bazı organ korkusu üzünden Almanyadan akşamına  Türkiyeye geldi.,2
Bende dünden beri buna tutuluyorum . Adamlar ne yapıp ne edip mahkemeyi Kuran sanki chpeymiş gibi manipülasyonlar yapıyorlar bunlarda yüzde yok kardeşim utansınlar,1
"Bu oyunda Kılıçdaroğlu, yavaş ikilisi kaybetti",1
Kafam karıştı sanırım akpye basçam,2
Senin baban bellimiydi ,2
Erdoğan kendisini Cumhurbaşkanı yapan tiyatronun aynısının yolunu açtı İmamoğlu’nu mağdur yaptı… Tarih tekerrür ediyor… Erdoğan büyük hata yaptı o koltuğa bu halk tarafından nasıl getirildiğini unuttu…en kötüsü Adalet Hukuk artık yok yine tescillendi…  #imamoğlu #cokusdonemi,1
Muhalefet yanlıları büyük oyunu gördü galiba imamoğlunu dıj güçler iktidara getiricek tiyatroyu gördü yeğenim apkye bascaklar galiba insanlar ya çok garip ya gizli troll,1
"Kafam çok karıştı, galiba apklilere basıcam.",2
Planlı bir tiyatro. Hep birlikte izliyoruz. Hapis cezasına sevinip göbek atıyor adam.,2
Aynen öyle ,3
"Yahu bu ""adam"" pireyi deve deveyi tellak yaptı, !!",2
Reis olmazsa hicsiniz Reisin slogan ını kulanıyor bunların işleri güçleri sov,2
Bu ziyniyet Hukuk diyor ama hukuku tanımıyorlar,1
Polis böyle olmalı tebrik ederim,3
Sabah sabah yumşacık olduk ,3
Dünya böyle güzel yürekli insanlar sayesinde var unutulan güzel duyguları yaşattın bize çocukların polis amcasi,3
Arkadaşlar böyle bir uygulama Fransa'da mecburi. Bilgilendireyim sadece.,2
Ah çocuklar çok güzelsiniz ,3
Güzel şeyler de oluyor ,3
Polis abiden isiras gelsin amin,3
Vatan sevgisi de imandandir.,3
"Kapatmasına gerek yokmuş, yaya geçidi zaten orası .",3
"19 yaşındayım, yaş fark etmeksizin fazla aktif yollarda bunu yapan trafik memurları beni çok duygulandırıyor❤️",3
Oyyy nasıl güzel bir görüntü ,3
İçim ısındı.,3
Gözümden yaş süzülmesi normal mi ,1
Kahraman Türk Polisi ,3
Aylar sonra ilk defa güne güzel başladım,3
"Vatanını en çok seven, görevini en iyi yapandır.",3
Bugünde bünyeye biraz pozitif enerji yükleye bildik şükür,3
Bütün haberlerin bu şekilde olma umuduyla ,3
İnsanın bu zamanda en çok sevgi ve ilgiye ihtiyacı vardır gerçekten,3
"Ülkece okadar absürt olaylara alışmışız ki olması gerekenler absürt, absürt şeyler normal gelmeye başladı",2
Helal be polis kardeşim o çocuklar sana sevgiyle sarılıyor çünkü o üniforma dan zarar gelmeyecegini biliyor yaşasın Türk polisi var olsun Türk polisi,3
Türkiye deki polis memurlarından okul çıkışları beklediğimiz hareketler inşallah örnek olur ve devamı gelir,3
"Bunda sevinilecek bir şey yok, üzülünür bu videoya. Yaya geçidi yapılmış ama kimse durmuyor. Gelişmiş toplumların hepsinde yol boş olsa bile yaya yeşili bekler, arabalar ışık olmayan yaya geçitlerinde yolu yayaya verir. Çocuklar ayrıca orada koskoca yaya geçidi varken oradan geçmiyorlar, yolun diğer tarafına yöneliyorlar. Öğretilmesi lazım bunları topluma",2
Sağol varol polis abim ,3
Adam görevini yapmış şarşıralacak bşy yok arkadaşlar,2
işte böyle videolar istiyoruz artık,3
Sabah sabah pozitif olduk :),3
Türkiye’de böyle bir manzara görmeyeli çok uzun zaman olmuştu. Sevindirdi ,3
"Zaten yaya geçidi var, yolcuların kendisi durması lazımdı. Avrupaya yaklaşamayışımızın ve vize istenmesinin bir sebebi daha",2
Çocuklar kitaplarda okudukları medeniyete açta ondan...,2
Şefkat merhamet saygı hoşgörü ve karşılığı ,3
Helal olsun böyle temiz yürekli işini yapan polisimize ,3
Pamuk gibi olduk bu sabah ,3
"Sıcacık bir görüntü samimi içten, teşekkürler..",3
Türk polisinin olduğu yerde huzur vardır,3
Para hırsı olmasa sevgi dünyayi ele gecirebilirdi...,3
Güne pozitif başladık sağ ol ,3
Türkiyede görmek istediğimiz şeyler,3
aylar sonra ilk defa güzel bir haber görüyorum 🥲🥲,3
Güzel insanlar iyi ki var ,3
Güne pozitif başlamak bu olsa gerek,3
Ülkede güzel şeyler de oluyormuş... ,3
Lacivertli cocuk Bulluk kenara kayınca ben,2
güne güzel başlandı,3
Cok ihtiyacimiz var soyle haberlere,3
Polis abi mutluluktan havalara uçmuştur... ,3
Ne güzel bir video sabah sabah keyiflendirdi,3
Çok güzel bir hareket,3
Oh sonunda güzel haberle  başladık güne,3
Yaşasın iyilik ,3
Bissürü kalpp sizee,3
Maşallah ,3
A gözlerimden kalp çıktı,3
Küçükken yapmayın en sevdiğim şeydi asker polis görünce sarılmak el sallamak🥹 çocukları mutlu görünce bende mutlu oldum🥹,3
Bizim milletimiz aslında ne kadar güzel bir millet de işte..,2
Ulan aşık oldum şu saniyelere be.,3
uzun zamandır içten gülümsememiştim:),3
Bunlara ihtiyacımız var bizim ,2
"Ne güzel işte, yüreğimiz ısındı valla. Keşke böyle güzel yanlarımızı dhaa çok koruyabilsek",3
sevgi ne güzel şey sevgiye layık olmak ne güzel şey ,3
Aslında orası yaya geciti yolu kapatmasına bile gerek yok ammmaaa,3
Cocuklar bile medeniyet beklentisi ile yaşiyor,2
Dedikoduyu iyi yapıyor.İşi gücü muhalefet görünüp muhalefeti karıştırmak! Dedikoduculuk gazetecilik değildir!,1
"Ya arkadaş ,24 saat  ekranlardasınız  Fazla muhabbette ,olmuyor. Magazinsele (dedikodu) dönüyor.",1
İçimizdeki İrlandalı,2
Fuat Uğur ve Hacı Yakışıklının karşısında CHP içinden bilgi veriyorum diyen biri varsa inanmayın,1
Uydur uydur,1
2017 de Maybache binen şahıs diyor bunu TC 312!,2
"1,23. saniyede; ""bir sene evvel, 6'lı masayı ben yönetiyorum"" demişmiş. Her şey iyi güzel de, 6'lı masa ilk toplantısını 12 Şubatta yapmış. Yarkadaş ve şurekası da muhalefetim, gazeteciyim diye geziyor işte.",2
"çünkü fitne peşinde, öyle masum ve sadece beceriksizce bie açıklama değil",1
Bu masadan dedikodudan başka bir şey çıkmasını beklemiyorum! Eeee...,1
Bunlar niye birbirlerine düştüler,1
Adamlar akp ve MHP’yi bırakıp birbirine muhalafet yapıyor.,2
Organize işler bunlar,2
Ya çok biliyon madem devam etseydin partide,2
Bu da tam bir dedikodu makinesi,1
"Adaylıkta Ekrem İmamoğlu ön plana çıkar çıkmaz Kemal Kılıçdaroğlu nun kalemleri başladı adaylığını engelleme çalışmalarına,diğeri de Merdan Yanardağ",2
Bunlarda reyting icin iyice sallamaya başladi,2
Bu adam trol mü? Kim finanse ediyor bu adamı?,2
Her gün 6’lı masanın içine fitne düşürücü açıklamalarınızdan ötürü sizi hiç unutmayacağız,2
"milyonların vebalini alıyorsunuz, bu devran er geç değişecek, o zaman hiç de iyi anılmayacağınızı bilmiyor olamazsınız",2
Her gelene agam paşam çekersen alacağın tek söz bu olur müstehak,1
"Kiracının cevabı, aynen aynen",3
Allah yardım edecekse siz niye maaş alıyorsunuz?,2
Doğru siz olmuyorsunuz,1
"Şu iktidara karşı galip gelememe ihtimali bile ürkütücü... Kılıçdaroğlu şayet keyfi hareket eder ve toplumun istediğinin dışında bir karar verirse değil chp binasına Türkiye sınırlarına sokulmamalıdır. Bu seferin aması yok, telafisi yok.",2
Sağol yaa,3
Şaka gibi bir kadro ekonomiyi yönetiyor Güldür güldürdeki skeçi aratmayacak bir cümle,3
Allah yardimcimiz oluyor sen onu bosver o beni ilgilendirir sen vatandasa ne yapcan onu soyle nasil rahatlatacaksiniz bu milleti ve alim gucunu nasil yukselteceksiniz tekrar?,2
Zamları tayin eden allah zaten. Buda allaha havale etmiş. En doğru tutum budur!,3
Amin,3
Bıraksanız olacak belki ama allahın da elini kolunu bağladınız,2
Amin inşallah da sizde bir el atsaydınız hani fena olmazdı.,2
Dua edeyimde Mülk sahibi olun dedi ...,2
CİDDİ Mİ BU KXXMOXSNOSNSKS,2
"""Allah yardımcınız olsun, öbür ay %110 zam geliyor kiranıza""",2
Büyük bir giyim firmasının deposunda çalışıyordum.öyle bir sıkışık depo ki çalışanlar bile geçemiyor.bir gün bölge müdürü geldi depoya bakmaya. biz de sevindik heralde bir çözüm sağlayacak diye Allah yardımcınız olsun dedi gitti.,2
B.yardımcısı :,2
Makroekonomik istikrarı hedefleyen modelimiz kapsamında finansal istikrarımızın tehdit altında olduğu bir dönemde KKM uygulamasını devreye alarak döviz kurlarındaki oynaklığı azalttık. 2021 Aralık’ta %70’leri aşan yabancı para mevduat oranı %50’nin altına kadar geriledi.,2
Modelimizin bir unsuru olan Selektif Kredi Politikası ile kaynakların verimli alanlarda değerlendirilmesini sağlayarak reel sektörümüzün rekabetçiliğini destekledik. Yıllık bazda son 9 çeyrektir kesintisiz büyüyerek G20 ülkeleri arasında en hızlı büyüyen ülkelerden biri olduk.,2
"Rekor seviyelere ulaşan 31,2 milyon istihdam, 253 milyar doları aşan yıllık ihracat ekonomide yakaladığımız güçlü performansın göstergeleridir. Temel hedefimiz daha güçlü bir Türkiye’yi beraberce inşa etmektir. Politikalarımızın odağında daima milletimizin refahı yer almıştır.",2
"Sayın Cumhurbaşkanımızın liderliğinde 20 yıllık dönemde uyguladığımız reformlarla ve Türkiye Ekonomi Modelimiz ile ortaya koyduğumuz yeni politika çerçevemizle ülkemizin, ekonomi alanındaki kazanımlarını Türkiye Yüzyılı vizyonumuzla geleceğe beraberce taşıyacağız.",2
Yeni ekonomik modelin ülkemize hayırlı olmasını diliyorum.,3
Cumhurbaşkanı Erdoğan Hazırda bekleyen 30 Binden fazla okul güvenliği söz verildiği gibi işlerine dönmeyi bekliyor Çocuklara güvenli eğitimi  sağlayıp biz tecrübeli güvenlikleri de koşulsuz şartsız okullarına iade imkanını sağlamalısınız,3
"Kim büyüdü sayın bakan,sabit gelirliyi sen soyledin fakir fukara olduk..",2
#ŞartımızNet99Öncesi,2
Durmak yok yola devam yanınızdayız köpekler ulur kervan yürür,3
Zaten kötüydü daha da kötü oldu,1
"Masallar masallar,dolardan haber ver enflasyondan haber ver pahalılıktan haber ver alım gücünden haber ver açlık sınırından haber ver yoksulluk sınırından haber ver bunlardan haberin var mı sayın Nebati?",2
Ekonomi çoh iyi,3
Sayın bakan Ekonominin bundan haberi var mı ? Peynir olmuş 250 lira ...,2
Çok büyüdük çok.,3
Hollanda da fabrika işçisiyim.ikameti işyerine yakın işçiler(10 km ye kadar) haftada 3 defa işe bisikletle gelme şartıyla bedava bisiklet alabiliyor.25 yıldır işe bisikletle gidip geliyorum.,2
Kapitalizmin vahşi ve acımasız yönleri elbette çok ama bu kadar da teknoloji düşmanı olmayın :) Ayrıca bisiklet üretimi de kapitalizmin bir parçasıdır.2022 -2023 bisiklet fiyatları ile 2 sene önce araba alınıyordu güzel ülkemde.,1
"Fekat bizim ülkemizde o bisiklet için; ötv, mtv, kasko, asfalt yıpratma payı gibi konular kolaylıkla asilabilir.",2
"""Kapitalist"" Hollanda'da her yer bisiklet yolu, herkes bisiklet kullanıyor.",2
Hollanda'daki kapitalistlerin bundan çok hoşlandığını sanmıyorum.,2
"Almanya dan üç gün  oldu geleli , 20 daireli apartman ım park yerinde da 3 araba 50 den fazla bisiklet vardı. Ben de o aparman da 5 katta kaldım. Ve binada asansör yok. Zaten %80 binada asansör yok.",2
Keşke bizde de tüm yolların kenarları bisiklet yolu yapılsaydı bizde her yere bisiklet ile gidip gelirdik ama maganda kaynadığı için yaya yolunda bile bize sıra gelmesini bekliyoruz,1
Tam Evet  tam 36 yildir  bisiklet  kullaniyorum  ( Son bir yildir  Elektirikli  bisiklet  )  Dolmusa otobuse  bile  bir yilda  toplasan 10 kez binmiyorum,2
Kapitalist icadı ve Kapitalist ülkelerde daha fazla kullanılıyor. Saçma olmuş.,1
"Bunların hepsini üreten insanlarda işsiz kalır, işim yok aşım yok diye bağırır durur...",1
Vay be kapitalizm sistem biz velespitçileri sevmiyor demek sevindim Bisiklet insanlığın en iyi icatlarından zaten sizi anca biz bisikletçiler yeneriz sistem kapitalizm,3
Kars'ın eksi bilmem kaç derece soğuğunda bisikletin pedalını nerenizle çevireceksiniz? Araba almaya param yok demiyorsunuz da demogojinin dibine dibine vurduruyorsunuz.,1
alinti oldugunuda yazssan babacan bunu en az 70 farkli yerde okudum,2
"En iyi bisikletleri kapitalistler yapıyor sayın bayım. Yahu hep dersiniz akıl, bilim, diyalektik diye. Kullansanıza şu dediklerinizi.",2
Biraz geç olmadı mı,1
Olur Emlak ıların evini biz geçindiririz,3
Geç oldu ama,1
Vergi alma yapılsın lan,1
Piyasaya hep emlakçılar yükseltiyor 2500 TL olan bir kira nasıl olur da 33 bin liraya çıkar asgari ücret 5200 lira olan bir ülkede dolandırıcılıktan başka bir şey değil nasıl verecek bu insanlar bu kiraları bizlere 25 bin lira zam mı geliyor yazık günahtır bu insanlara ayıptır ayıp,1
Türkiye'de her şeyin çaresi bulunur.,3
Çok güzel düzenleneme,3
Ev alırken boğazımdan kısalım stres çekelim evi alırken + birde devlete ev fiyatlarına yakın tapu harcı ödeyelim sonra yiyip içip araba alıp satıp kiracı olduğu içinden her haktan yardımdan yararlanan uyanıklar ev sahibinden düşük kira beklesinler oldu başka bı kombi arizalaniyor 2000 den aşağı tornavida vurmuyor usta.,1
"Ev kiraları fırladı gitti, İstanbul’da asgari ücretle çalışan birisi tek başına kira ödeyemez hale geldi. Bu zamana kadar ne bekleniyordu acaba?",1
"Birde ev sahibini arayıp kiracıyı çıkar, eve iki koltuk atar öğrenciye dört katı fiyatına veririz diyenler var bizzat şahit olduğum olay",2
Emlakcilar dünyadan silinsin lütfen,1
Atı alan üsküdarı geçti fiyatlar ikiye katladı,1
Harika,3
Antalya konyaaltı'nda evler 30 bin liradan aşağı daire yok Türkleri çıkartıyorlar kızım oğlum gelecek diye evleri biraz tadilat yapıp Ruslara veriyorlar kendi ülkemizi 2 vatandaş olduk vergileri bizden alıyorlar ama bunu devlet maliye hiç kimse denetlemiyor mu görmüyor mu emlakçılar kiracılara da tembih ediyor uygun fiyat söyletiyorlar onlara Ruslara önüne gelen yüksek fiyatta veriyor evine verilen birçok evi de sayabilirim,1
Esas ev ahaibine binen uzun süre kiracının cikmamamsi haksızlığın önüne geçmek lazım. E devlet şartı geliyorsa muhite göre kira bedel sınırı yapılmalı...,1
Güzel olur çünkü kiraları bir anda 3-4 katı fazla yapamazlar artık,3
şimdi ev sahipleri düşünsün,2
Peki ev sahipleri sözleşme yapmak istemezse?,2
Ben ev sahibiyim yani insanları zorla sözleşmesiz kiraya vermeye zorluyor biz sözleşmemiz var fakat yasalara uymayıp işinize gelirse diyebilir ev sahipleri istediği zaman çıkarma yapabilir bi sistem gerekli ama bu şekilde değil,1
"Yanlis hala yanlisla kapatiliyor, milletten gelir vergisi alacak bu sayede devlet ama emlakcinin bedavadan aldigi komisyonlari gormezden gelecek emlakcilik komple kalkmali bugun bir ev kiralamanin bedeli kira depozito ve emlakci dahil min 20 bin tl",1
yada sözleşmesiz kiralar artacak,2
Her şeye %200 zam gelirken kiraya %25 zam marketçi fırıncı haklı ev sahibi kan emici oluyor şaka gibi ülke,1
Öncelikle hiç birşeyin önüne geçemez. Bu denetimsizlikle malesefki el altından işler yürümeye devam eder. Ev sahipleri de hiç mahsumu oynamasın. Bu yıl %39 zam yapıldı kirama. Ev sahibi çevre evlerin fiyatı bu oldu bir siğara bile bilmem bukadar oldu. Tefe tüfe oranında zam yapcaksak evi boşalt haftaya demişti.  Beyfendi tefe tüfenin üzerine %10 istiyordu.  Kiralarımı bir gün bile geciktirmedim. Tefe tüfe neyse ona göre zam yaptığım halde neymiş kiralar çok artmışta ona göre fazladan zam istiyor.  Seneye ihtar çekmesini ancak o şekilde evini boşaltacagımı söyledim. Şimdi kiralarını düzenli ödeyen bir vatandaşıda madur ediyorlar buna ne diyorsunuz? Eve ilk girerken ilk sözleşmemizde bile tefe tüfeye göre zam yapılacaktır şeklinde anlaşmıştık.  Ama kafalarına göre kanun çıkaran ev sahipleriyle kiracıların  mağduriyetini son 2 yıldır sürekli görüp duyuyorum. Yazık.,1
Valla ben ev sahibiyim kira derdim yok ama bazı emlakçılar ve ev sahipleri bu işi kira almaktan çok dolandırıcılığa çevirdi. Yani artış elbette olacak ama 1 sene önce 900-1500 arası olan 1+1 evler ne oldu da 6-7 bin oldu.,1
E devletten bedeli dusuk gosterip geri kalanina 1 yil boyunca aylik sekilde senet yaparlar,2
Yani noterden yapılacak her kontratın 1000 tl masrafı var hemde her sene yenilenecek,2
Şimdi emlakçılar düşünsün ,2
Kiraların ucuzlayacağını sananlar şaka mı ?,1
Üzerine gidilmeyip denetlenmediği sürece ve tüm evlere zorunluluk olmadığı sürece boş bı faydası olmaz,2
Milletin maf ettiniz zamanın da bunları yapsaydınız ya,1
Ben kiraya veririm şu fiyattan veririm ama e devlete bildirim yapmam isine geliyorsa tut evi derse ev sahibi ne olacak,2
"Emlakçıları çıkarsınlar aradan tabi eve girerken bir kira da bedeli komisyon ne yaptın ki sen yani bir kirada sana ? Bu e devlette yapılan şey kimin işine gelir bilmem de piyasayı yükselten kiracıyı daha da zorlayan, yabancıya satıp kiralayan ; kira artışlarında en çok payı olan emlakçılardır.",2
Asıl kira ödemeyen kiracıyı çıkarmak için bir kanun çıkarsınlar adam 2 sene kuruş ödemeden evde oturuyor ama bunu görmez kiracılar her oturan tıkır tıkır ödemiyor he şimdi derler 3 kuruşluk evi 5 kuruşa verme 3+1 evi 2500 e verdik daha ne kadara vercektik İstanbul da.,2
Kirayıciyi düşündüğü için değil vergi kaçırmasın diye yapılan değişiklik ,2
kaç yıldır internet var onca yıl yapmamışlar şimdi birden mi yapıyorlar geç kaldınız kusura bakmayın.,1
Belgesiz emlakçılar nasıl temizlenecek. Yıllardır uğraşıyoruz bu kaçak ofislerle. Ne bir yaptırım var ne bir denetleme.,1
On numara olay. şu e devlet harika birşey ya,3
Emlak sektörü kaldırılmalıdır. Tamamen ev sahibi ile kiracı muhatap olmalıdır. Ben niye emlakçıya yüzde 2 komisyon vereyim,2
Fiyat sınırlandırması da gelse keşke,2
Kayıtsızlardan vergi alamıyor onun peşinde sana bana faydası yok kendını dusunuyor,2
